Edge1-Edge2	KappaScore
GO:0045935 (term-term) GO:0016070	0.45046296050923
GO:0045935 (term-term) GO:0019219	0.6142678140269369
GO:0045935 (term-term) GO:0032774	0.4534328244648185
GO:0045935 (term-term-ontology) GO:0019219	2.0
GO:0045943 (term-term) GO:0006356	0.8877679697351837
GO:0045943 (term-term-ontology) GO:0006356	2.0
GO:0046031 (term-term) GO:0006007	0.6016762958743613
GO:0046031 (term-term) GO:0006090	0.8396618625277159
GO:0046031 (term-term) GO:0006195	0.8643292682926812
GO:0046031 (term-term) GO:0009132	0.9251135917428616
GO:0046031 (term-term) GO:0009179	0.9611647661158944
GO:0046031 (term-term) GO:0009261	0.8863120245259439
GO:0046031 (term-term) GO:0019320	0.6167814886925265
GO:0046031 (term-term) GO:0019364	0.9318988736532796
GO:0046031 (term-term-ontology) GO:0009179	2.0
GO:0046032 (term-term) GO:0006007	0.6245676200118119
GO:0046032 (term-term) GO:0006090	0.8610756350219955
GO:0046032 (term-term) GO:0006195	0.8863346104725404
GO:0046032 (term-term) GO:0009132	0.8977246609974705
GO:0046032 (term-term) GO:0009179	0.9336355772959093
GO:0046032 (term-term) GO:0009261	0.9093976324132512
GO:0046032 (term-term) GO:0019320	0.6383653883363621
GO:0046032 (term-term) GO:0019364	0.9580439360130736
GO:0046032 (term-term) GO:0046031	0.9723996774793761
GO:0046032 (term-term-ontology) GO:0046031	2.0
GO:0046496 (term-term) GO:0006007	0.5068769962844645
GO:0046496 (term-term) GO:0006090	0.7562805095844756
GO:0046496 (term-term) GO:0006195	0.7562805095844756
GO:0046496 (term-term) GO:0009132	0.7217144506446023
GO:0046496 (term-term) GO:0009179	0.7461494580718758
GO:0046496 (term-term) GO:0009261	0.7296936122652283
GO:0046496 (term-term) GO:0019320	0.5248192329987504
GO:0046496 (term-term) GO:0019364	0.8272649639003189
GO:0046496 (term-term) GO:0046031	0.7721570836106699
GO:0046496 (term-term) GO:0046032	0.7904457932189205
GO:0048666 (term-term) GO:0007409	0.5536419895682622
GO:0048666 (term-term) GO:0010975	0.546569449952714
GO:0048666 (term-term) GO:0022008	0.765832241951097
GO:0048666 (term-term) GO:0030182	0.8815567199067564
GO:0048666 (term-term) GO:0031175	0.9258313336879179
GO:0048666 (term-term-ontology) GO:0030182	2.0
GO:0048666 (term-term-ontology) GO:0031175	2.0
GO:0048667 (term-term) GO:0007409	0.8709691591248571
GO:0048667 (term-term) GO:0007411	0.5751903893596482
GO:0048667 (term-term) GO:0010975	0.5552951580809193
GO:0048667 (term-term) GO:0022008	0.47083608078053596
GO:0048667 (term-term) GO:0030182	0.5622932326061884
GO:0048667 (term-term) GO:0031175	0.7142371991787716
GO:0048667 (term-term) GO:0048666	0.6632797833158974
GO:0048667 (term-term-ontology) GO:0007409	2.0
GO:0048667 (term-term-ontology) GO:0048666	2.0
GO:0048699 (term-term) GO:0007409	0.44628308257865984
GO:0048699 (term-term) GO:0007417	0.4032878981422042
GO:0048699 (term-term) GO:0010975	0.44016463461986455
GO:0048699 (term-term) GO:0022008	0.9052734536285848
GO:0048699 (term-term) GO:0030182	0.9754237237989479
GO:0048699 (term-term) GO:0031175	0.7854956496589623
GO:0048699 (term-term) GO:0048666	0.8573955502520455
GO:0048699 (term-term) GO:0048667	0.5426369038060064
GO:0048699 (term-term-ontology) GO:0001764	2.0
GO:0048699 (term-term-ontology) GO:0022008	2.0
GO:0048699 (term-term-ontology) GO:0030182	2.0
GO:0048709 (term-term) GO:0010001	0.6196743728900487
GO:0048709 (term-term) GO:0042063	0.5448346403000348
GO:0048709 (term-term-ontology) GO:0007417	2.0
GO:0048709 (term-term-ontology) GO:0010001	2.0
GO:0048812 (term-term) GO:0007409	0.821359872877812
GO:0048812 (term-term) GO:0007411	0.5344532743184788
GO:0048812 (term-term) GO:0010975	0.5207404291123265
GO:0048812 (term-term) GO:0022008	0.50840632014436
GO:0048812 (term-term) GO:0030182	0.6042774107009787
GO:0048812 (term-term) GO:0031175	0.7784741798116716
GO:0048812 (term-term) GO:0048666	0.7090853215622728
GO:0048812 (term-term) GO:0048667	0.908596424496006
GO:0048812 (term-term) GO:0048699	0.5837493335918189
GO:0048812 (term-term-ontology) GO:0007409	2.0
GO:0048812 (term-term-ontology) GO:0031175	2.0
GO:0048813 (term-term) GO:0010975	0.4022622834924
GO:0048813 (term-term) GO:0048667	0.4275690688495834
GO:0048813 (term-term-ontology) GO:0048667	2.0
GO:0048813 (term-term-ontology) GO:0048812	2.0
GO:0050767 (term-term) GO:0010975	0.42133926090580714
GO:0050767 (term-term-ontology) GO:0022008	2.0
GO:0050768 (term-term) GO:0050767	0.6202626955576013
GO:0050768 (term-term-ontology) GO:0022008	2.0
GO:0050768 (term-term-ontology) GO:0050767	2.0
GO:0050770 (term-term) GO:0007409	0.5124041244064851
GO:0050770 (term-term) GO:0010975	0.5191924936025023
GO:0050770 (term-term) GO:0048667	0.41987198308767454
GO:0050770 (term-term) GO:0050767	0.5160210825734132
GO:0050770 (term-term) GO:0050768	0.41741726015919484
GO:0050770 (term-term-ontology) GO:0007409	2.0
GO:0050770 (term-term-ontology) GO:0010975	2.0
GO:0050804 (term-term) GO:0007268	0.8082068129884284
GO:0050804 (term-term-ontology) GO:0007268	2.0
GO:0050807 (term-term) GO:0048813	0.41300510915002375
GO:0051056 (term-term) GO:0007264	0.806006296924195
GO:0051056 (term-term-ontology) GO:0007264	2.0
GO:0051246 (term-term) GO:0006417	0.41755768148565037
GO:0051246 (term-term) GO:0010608	0.40600252599318803
GO:0051246 (term-term-ontology) GO:0006417	2.0
GO:0051248 (term-term) GO:0051246	0.52853115291836
GO:0051248 (term-term-ontology) GO:0010605	2.0
GO:0051248 (term-term-ontology) GO:0051246	2.0
GO:0051252 (term-term) GO:0006351	0.9065172564390317
GO:0051252 (term-term) GO:0006355	0.9340501090543033
GO:0051252 (term-term) GO:0009890	0.44081592828251787
GO:0051252 (term-term) GO:0009891	0.5335616791435884
GO:0051252 (term-term) GO:0010468	0.7541750850361884
GO:0051252 (term-term) GO:0010556	0.731216087951801
GO:0051252 (term-term) GO:0010557	0.5449135355939841
GO:0051252 (term-term) GO:0010558	0.4495816558933892
GO:0051252 (term-term) GO:0010604	0.513419729875984
GO:0051252 (term-term) GO:0010605	0.41164650447606455
GO:0051252 (term-term) GO:0016070	0.7973472989127343
GO:0051252 (term-term) GO:0019219	0.9246848773358838
GO:0051252 (term-term) GO:0032774	0.7924733943608098
GO:0051252 (term-term) GO:0045934	0.46001884108604507
GO:0051252 (term-term) GO:0045935	0.6083614222679895
GO:0051252 (term-term-ontology) GO:0016070	2.0
GO:0051252 (term-term-ontology) GO:0019219	2.0
GO:0051253 (term-term) GO:0006351	0.4651751685487135
GO:0051253 (term-term) GO:0006355	0.48976370102030653
GO:0051253 (term-term) GO:0009890	0.702561283331092
GO:0051253 (term-term) GO:0010558	0.723849743312836
GO:0051253 (term-term) GO:0010605	0.6549011045272817
GO:0051253 (term-term) GO:0019219	0.42573320438350293
GO:0051253 (term-term) GO:0045934	0.9468115623296771
GO:0051253 (term-term) GO:0051252	0.478492625052768
GO:0051253 (term-term-ontology) GO:0010605	2.0
GO:0051253 (term-term-ontology) GO:0016070	2.0
GO:0051253 (term-term-ontology) GO:0045934	2.0
GO:0051253 (term-term-ontology) GO:0051252	2.0
GO:0051254 (term-term) GO:0006351	0.5863775885175738
GO:0051254 (term-term) GO:0006355	0.6158344508010062
GO:0051254 (term-term) GO:0009891	0.7260700205863755
GO:0051254 (term-term) GO:0010468	0.43080455595049694
GO:0051254 (term-term) GO:0010556	0.4150744508705928
GO:0051254 (term-term) GO:0010557	0.7567821196788033
GO:0051254 (term-term) GO:0010604	0.672846771063733
GO:0051254 (term-term) GO:0016070	0.4613192789034565
GO:0051254 (term-term) GO:0019219	0.5599798190363154
GO:0051254 (term-term) GO:0032774	0.4659265192750894
GO:0051254 (term-term) GO:0045935	0.9346140514798964
GO:0051254 (term-term) GO:0051252	0.6227942784920885
GO:0051254 (term-term-ontology) GO:0010604	2.0
GO:0051254 (term-term-ontology) GO:0016070	2.0
GO:0051254 (term-term-ontology) GO:0045935	2.0
GO:0051254 (term-term-ontology) GO:0051252	2.0
GO:0051960 (term-term) GO:0050767	0.9081343005419037
GO:0051960 (term-term) GO:0050768	0.5442942162988476
GO:0051960 (term-term) GO:0050770	0.4518321732290486
GO:0051960 (term-term-ontology) GO:0050767	2.0
GO:0051961 (term-term) GO:0050767	0.6252476882430651
GO:0051961 (term-term) GO:0050768	0.97720170090681
GO:0051961 (term-term) GO:0050770	0.4300425226702198
GO:0051961 (term-term) GO:0051960	0.5625476847232814
GO:0051961 (term-term-ontology) GO:0050768	2.0
GO:0051961 (term-term-ontology) GO:0051960	2.0
GO:0061564 (term-term) GO:0007409	0.9375572976108068
GO:0061564 (term-term) GO:0007411	0.6318199827533976
GO:0061564 (term-term) GO:0010975	0.467567949503038
GO:0061564 (term-term) GO:0022008	0.42416213494690636
GO:0061564 (term-term) GO:0030182	0.5095743215318913
GO:0061564 (term-term) GO:0031175	0.6695674995759171
GO:0061564 (term-term) GO:0048666	0.6050774906002524
GO:0061564 (term-term) GO:0048667	0.8284481133063751
GO:0061564 (term-term) GO:0048699	0.4911313561144434
GO:0061564 (term-term) GO:0048812	0.782787869088581
GO:0061564 (term-term) GO:0050770	0.4662135145941625
GO:0061564 (term-term-ontology) GO:0007409	2.0
GO:0061564 (term-term-ontology) GO:0031175	2.0
GO:0061615 (term-term) GO:0006007	0.8557255868240146
GO:0061615 (term-term) GO:0006090	0.5420380409813467
GO:0061615 (term-term) GO:0006195	0.5420380409813467
GO:0061615 (term-term) GO:0009132	0.5511934556049459
GO:0061615 (term-term) GO:0009179	0.580543173025942
GO:0061615 (term-term) GO:0009261	0.5606523761605525
GO:0061615 (term-term) GO:0019320	0.797778976966119
GO:0061615 (term-term) GO:0019364	0.6247180114271249
GO:0061615 (term-term) GO:0046031	0.6130755216959274
GO:0061615 (term-term) GO:0046032	0.6367971132780637
GO:0061615 (term-term) GO:0046496	0.48534514093117065
GO:0099537 (term-term) GO:0007268	0.9906600902508133
GO:0099537 (term-term) GO:0050804	0.7992265549468259
GO:0120035 (term-term) GO:0010975	0.8191056910569104
GO:0120035 (term-term) GO:0030182	0.4170083039018869
GO:0120035 (term-term) GO:0031175	0.5364946144629819
GO:0120035 (term-term) GO:0031346	0.6328417658494948
GO:0120035 (term-term) GO:0048666	0.4935442094109335
GO:0120035 (term-term) GO:0048667	0.46551658187660216
GO:0120035 (term-term) GO:0048699	0.4053779585331601
GO:0120035 (term-term) GO:0048812	0.4377433335781977
GO:0120035 (term-term-ontology) GO:0010975	2.0
GO:0120039 (term-term) GO:0007409	0.8120060966518113
GO:0120039 (term-term) GO:0007411	0.5269061860381932
GO:0120039 (term-term) GO:0010975	0.5142285738094247
GO:0120039 (term-term) GO:0022008	0.5040662356551939
GO:0120039 (term-term) GO:0030182	0.5992607674856447
GO:0120039 (term-term) GO:0031175	0.7717751385778733
GO:0120039 (term-term) GO:0048666	0.7031263464248685
GO:0120039 (term-term) GO:0048667	0.8992851888874223
GO:0120039 (term-term) GO:0048699	0.5788924804642709
GO:0120039 (term-term) GO:0048812	0.9903211774088305
GO:0120039 (term-term) GO:0061564	0.7741466064496685
GO:0120039 (term-term) GO:0120035	0.45191053325851027
GO:0120039 (term-term-ontology) GO:0048812	2.0
GO:0140662 (term-term) GO:0044183	0.7813267813267817
GO:0140662 (term-term-ontology) GO:0044183	2.0
GO:0141124 (term-term) GO:0007264	0.4266655583724699
GO:0141124 (term-term-ontology) GO:0007264	2.0
GO:0141187 (term-term) GO:0006351	0.7955059348188224
GO:0141187 (term-term) GO:0006355	0.756154794053643
GO:0141187 (term-term) GO:0009891	0.4187374733602331
GO:0141187 (term-term) GO:0010468	0.6161165097810366
GO:0141187 (term-term) GO:0010556	0.6172352902484809
GO:0141187 (term-term) GO:0010557	0.43112438402087827
GO:0141187 (term-term) GO:0016070	0.9364936977895117
GO:0141187 (term-term) GO:0019219	0.7481639783140125
GO:0141187 (term-term) GO:0032774	0.9794919324693148
GO:0141187 (term-term) GO:0045935	0.469489896196373
GO:0141187 (term-term) GO:0051252	0.7728373711434182
GO:0141187 (term-term) GO:0051254	0.4511984499220103
GO:0141187 (term-term-ontology) GO:0032774	2.0
GO:1901292 (term-term) GO:0006007	0.47088501831737356
GO:1901292 (term-term) GO:0006090	0.7062533152590319
GO:1901292 (term-term) GO:0006195	0.9160723757882954
GO:1901292 (term-term) GO:0009132	0.7563037215171803
GO:1901292 (term-term) GO:0009179	0.7597162737614578
GO:1901292 (term-term) GO:0009261	0.8929786799100538
GO:1901292 (term-term) GO:0019320	0.49082368528025627
GO:1901292 (term-term) GO:0019364	0.8177606572902145
GO:1901292 (term-term) GO:0046031	0.7858843192868709
GO:1901292 (term-term) GO:0046032	0.8042741455589757
GO:1901292 (term-term) GO:0046496	0.6957902397071476
GO:1901292 (term-term) GO:0061615	0.4781673968631409
GO:1901888 (term-term) GO:0050807	0.5464793082149468
GO:1902531 (term-term) GO:0141124	0.70459123961551
GO:1902531 (term-term-ontology) GO:0051056	2.0
GO:1902680 (term-term) GO:0006351	0.6028199254760731
GO:1902680 (term-term) GO:0006355	0.6382927456145987
GO:1902680 (term-term) GO:0009891	0.7201965595248673
GO:1902680 (term-term) GO:0010468	0.40116384797235866
GO:1902680 (term-term) GO:0010557	0.7510158692413678
GO:1902680 (term-term) GO:0010604	0.6334361410700945
GO:1902680 (term-term) GO:0016070	0.4302814985516987
GO:1902680 (term-term) GO:0019219	0.5245671134296727
GO:1902680 (term-term) GO:0032774	0.46017378512342255
GO:1902680 (term-term) GO:0045935	0.8901548169118386
GO:1902680 (term-term) GO:0051252	0.5850230372338141
GO:1902680 (term-term) GO:0051254	0.955219134411026
GO:1902680 (term-term) GO:0141187	0.4458011381788056
GO:1902680 (term-term-ontology) GO:0010557	2.0
GO:1902680 (term-term-ontology) GO:0032774	2.0
GO:1902680 (term-term-ontology) GO:0051254	2.0
GO:2001141 (term-term) GO:0006351	0.9586153837482596
GO:2001141 (term-term) GO:0006355	0.9974559980562683
GO:2001141 (term-term) GO:0009891	0.5244662812194578
GO:2001141 (term-term) GO:0010468	0.6976204518064566
