GeneSymbol,Gene ID (Biomart),log2FC_hypo,Significance_hypo,log2FC_hyper,Significance_hyper
AC004076.1,0,-0.1218940701389197,0,-0.1090518815061694,0
AC004076.2,0,0.0481191931218303,0,0.02364962761267,0
AC004080.1,0,0.0313730017349893,0,-0.0318937281040003,0
AC004080.2,0,0.0,0,0.0,0
AC004112.1,0,-0.0227517381001796,0,-0.0616763130022297,0
AC004130.1,101927811,0.0293288182358804,0,0.0558290225719302,0
AC004147.2,0,0.1564294244505903,0,0.0066407014659999,0
AC004147.3,0,0.0489302341002799,0,0.0,0
AC004148.1,105371506,0.0,0,0.0,0
AC004148.2,0,-0.00348723329824,0,-0.01949548015381,0
AC004156.1,0,0.1038925167239304,0,-0.0577314487305997,0
AC004158.1,0,-0.1276546987801898,0,-0.0364063490730295,0
AC004160.1,0,-0.1224513599619001,0,-0.0164580620082697,0
AC004160.2,0,0.0,0,0.0290159263209499,0
AC004217.1,0,-0.0314292097841901,0,-0.0040241083948,0
AC004221.1,0,0.1004287813644806,0,0.0911560137735403,0
AC004223.1,0,0.0811736935001903,0,0.0,0
AC004223.2,0,-0.0378815435695401,0,-0.0248255102634606,0
AC004223.4,0,-0.1689904185367901,0,-0.0626743860719702,0
AC004224.1,0,0.1125560481113296,0,0.0679434953259496,0
AC004231.1,0,0.0981066467725595,0,0.0624885133751398,0
AC004231.3,0,0.0623820870181202,0,0.0325009651349699,0
AC004232.3,0,-0.1389072764605305,0,0.00884272094373,0
AC004233.1,0,0.0,0,0.03143418011331,0
AC004233.2,0,0.0568152035168498,0,-0.0281206892222805,0
AC004233.3,0,-0.0249249700201197,0,0.0951769854323201,0
AC004233.4,0,-0.0449423370389396,0,-0.0823651099203299,0
AC004241.1,0,-0.0497846997000106,0,-0.0633057249852502,0
AC004241.2,0,-0.0138898310206094,0,0.0523251492210903,0
AC004241.3,0,-0.0540782209713395,0,0.0009354337909908,0
AC004241.4,0,0.0236065362550697,0,0.08167651240334,0
AC004241.5,0,-0.0314292097841901,0,-0.0043261852464304,0
AC004253.1,0,0.0,0,0.0312144923663799,0
AC004257.1,0,0.0768978678937095,0,0.0323583692501197,0
AC004263.1,0,0.1176160122431602,0,-0.0356863435190604,0
AC004263.2,0,0.1912301958529596,0,-0.0067236117594298,0
AC004264.1,91370,0.0,0,0.0,0
AC004264.2,0,0.1516411221006102,0,-0.0369695256462101,0
AC004381.1,0,0.1999422170426497,0,0.1342104033551301,0
AC004381.2,0,0.0,0,0.0316347785264499,0
AC004381.3,0,0.0304900786195503,0,0.03143418011331,0
AC004383.1,0,0.0866700954785901,0,0.0040249387843793,0
AC004386.1,0,0.0295030842400194,0,-0.0159125355808305,0
AC004408.1,0,0.0,0,0.0290159263209499,0
AC004408.2,0,0.06338303360506,0,0.1331183588375397,0
AC004448.2,0,0.0,0,0.03143418011331,0
AC004449.1,0,0.0154302825593894,0,0.0588081353317599,0
AC004453.1,0,0.1794888188845602,0,-0.0037044821907894,0
AC004453.2,0,0.0517519136751403,0,0.1095883626939304,0
AC004461.1,0,0.0,0,0.0,0
AC004461.2,0,-0.0239347992632401,0,-0.0619462661965002,0
AC004466.1,0,0.0347342483328603,0,0.05936800359326,0
AC004466.2,0,0.1688940758032702,0,-0.0497437349868796,0
AC004466.3,0,-0.0248381771948897,0,-0.0373691541060301,0
AC004467.1,0,0.0275504909239705,0,0.0714943014595999,0
AC004471.1,0,0.0206948595258298,0,-0.0355407346095102,0
AC004471.2,0,-0.0991601655335001,0,-0.03262234207385,0
